Location,ZIPCODE,State,District
A I staff colony,400029,Maharashtra,Mumbai
Aareymilk Colony,400065,Maharashtra,Mumbai
Agripada,400011,Maharashtra,Mumbai
Airport,400099,Maharashtra,Mumbai
Ambewadi,400004,Maharashtra,Mumbai
Andheri,400053,Maharashtra,Mumbai
Andheri East,400069,Maharashtra,Mumbai
Andheri Railway station,400058,Maharashtra,Mumbai
Antop Hill,400037,Maharashtra,Mumbai
Asvini,400005,Maharashtra,Mumbai
Azad Nagar,400053,Maharashtra,Mumbai
B P t colony,400003,Maharashtra,Mumbai
B.N. bhavan,400051,Maharashtra,Mumbai
B.P.lane,400003,Maharashtra,Mumbai
Bandra West,400050,Maharashtra,Mumbai
Bandra(east),400051,Maharashtra,Mumbai
Bangur Nagar,400090,Maharashtra,Mumbai
Bazargate,400001,Maharashtra,Mumbai
Best Staff colony,400012,Maharashtra,Mumbai
Bharat Nagar,400007,Maharashtra,Mumbai
Bhawani Shankar,400028,Maharashtra,Mumbai
Bhawani Shankar rd,400028,Maharashtra,Mumbai
Borivali,400091,Maharashtra,Mumbai
Borivali East,400066,Maharashtra,Mumbai
Borvali West,400092,Maharashtra,Mumbai
C G s colony,400013,Maharashtra,Mumbai
Central Building,400020,Maharashtra,Mumbai
Century Mill,400030,Maharashtra,Mumbai
Chakala Midc,400093,Maharashtra,Mumbai
Chamarbaug,400012,Maharashtra,Mumbai
Charkop,400067,Maharashtra,Mumbai
Charni Road,400004,Maharashtra,Mumbai
Chaupati,400004,Maharashtra,Mumbai
Chinchbunder,400009,Maharashtra,Mumbai
Chinchpokli,400011,Maharashtra,Mumbai
Churchgate,400020,Maharashtra,Mumbai
Colaba,400005,Maharashtra,Mumbai
Cotton Exchange,400033,Maharashtra,Mumbai
Cumballa Hill,400026,Maharashtra,Mumbai
Cumballa Sea face,400026,Maharashtra,Mumbai
Dadar,400014,Maharashtra,Mumbai
Dadar Colony,400014,Maharashtra,Mumbai
Dahisar,400068,Maharashtra,Mumbai
Dahisar Rs,400068,Maharashtra,Mumbai
Danda,400052,Maharashtra,Mumbai
Daulat Nagar,400066,Maharashtra,Mumbai
Delisle Road,400013,Maharashtra,Mumbai
Dharavi,400017,Maharashtra,Mumbai
Dharavi Road,400017,Maharashtra,Mumbai
Dockyard Road,400010,Maharashtra,Mumbai
Dr Deshmukh marg,400026,Maharashtra,Mumbai
Falkland Road,400008,Maharashtra,Mumbai
Girgaon,400004,Maharashtra,Mumbai
Gokhale Road,400028,Maharashtra,Mumbai
Goregaon,400062,Maharashtra,Mumbai
Goregaon East,400063,Maharashtra,Mumbai
Goregaon Rs,400062,Maharashtra,Mumbai
Government Colony,400051,Maharashtra,Mumbai
Gowalia Tank,400026,Maharashtra,Mumbai
Grant Road,400007,Maharashtra,Mumbai
H.M.p. school,400058,Maharashtra,Mumbai
Haffkin Institute,400012,Maharashtra,Mumbai
Haines Road,400011,Maharashtra,Mumbai
Hajiali,400034,Maharashtra,Mumbai
Hanuman Road,400057,Maharashtra,Mumbai
High Court bulding,400032,Maharashtra,Mumbai
Holiday Camp,400005,Maharashtra,Mumbai
Irla,400056,Maharashtra,Mumbai
Ins Hamla,400095,Maharashtra,Mumbai
International Airport,400099,Maharashtra,Mumbai
J.B. nagar,400059,Maharashtra,Mumbai
J.J.hospital,400008,Maharashtra,Mumbai
Jacob Circle,400011,Maharashtra,Mumbai
Jogeshwari East,400060,Maharashtra,Mumbai
Jogeshwari West,400102,Maharashtra,Mumbai
Juhu,400049,Maharashtra,Mumbai
Kalachowki,400033,Maharashtra,Mumbai
Kalbadevi,400002,Maharashtra,Mumbai
Kamathipura,400008,Maharashtra,Mumbai
Kandivali East,400101,Maharashtra,Mumbai
Kandivali West,400067,Maharashtra,Mumbai
Kapad Bazar,400016,Maharashtra,Mumbai
Ketkipada,400068,Maharashtra,Mumbai
Khar Colony,400052,Maharashtra,Mumbai
Khar Delivery,400052,Maharashtra,Mumbai
Kharodi,400095,Maharashtra,Mumbai
Kherwadi,400051,Maharashtra,Mumbai
Kidwai Nagar,400031,Maharashtra,Mumbai
L B s n e collage,400033,Maharashtra,Mumbai
Lal Baug,400012,Maharashtra,Mumbai
Liberty Garden,400064,Maharashtra,Mumbai
M A marg,400008,Maharashtra,Mumbai
M.P.t.,400001,Maharashtra,Mumbai
Madh,400061,Maharashtra,Mumbai
Madhavbaug,400004,Maharashtra,Mumbai
Magthane,400066,Maharashtra,Mumbai
Mahim,400016,Maharashtra,Mumbai
Mahim Bazar,400016,Maharashtra,Mumbai
Mahim East,400016,Maharashtra,Mumbai
Malabar Hill,400006,Maharashtra,Mumbai
Malad,400064,Maharashtra,Mumbai
Malad East,400097,Maharashtra,Mumbai
Malad West dely,400064,Maharashtra,Mumbai
Mandapeshwar,400103,Maharashtra,Mumbai
Mandvi,400003,Maharashtra,Mumbai
Mantralaya,400032,Maharashtra,Mumbai
Marine Lines,400020,Maharashtra,Mumbai
Marol Bazar,400059,Maharashtra,Mumbai
Marol Naka,400059,Maharashtra,Mumbai
Masjid,400003,Maharashtra,Mumbai
Matunga Railway workshop,400019,Maharashtra,Mumbai
Mazgaon,400010,Maharashtra,Mumbai
Mazgaon Dock,400010,Maharashtra,Mumbai
Mazgaon Road,400010,Maharashtra,Mumbai
Mori Road,400016,Maharashtra,Mumbai
Motilal Nagar,400104,Maharashtra,Mumbai
Mumbai Central,400008,Maharashtra,Mumbai
Mumbai.,400001,Maharashtra,Mumbai
N . s.patkar,400007,Maharashtra,Mumbai
Nagardas Road,400069,Maharashtra,Mumbai
Nagari Niwara,400065,Maharashtra,Mumbai
Naigaon,400014,Maharashtra,Mumbai
Nariman Point,400021,Maharashtra,Mumbai
New Prabhadevi road,400025,Maharashtra,Mumbai
New Yogakshema,400021,Maharashtra,Mumbai
Noor Baug,400003,Maharashtra,Mumbai
Null Bazar,400003,Maharashtra,Mumbai
Opera House,400004,Maharashtra,Mumbai
Orlem,400064,Maharashtra,Mumbai
Oshiwara,400102,Maharashtra,Mumbai
Parel,400012,Maharashtra,Mumbai
Parel Naka,400012,Maharashtra,Mumbai
Parel Rly work shop,400003,Maharashtra,Mumbai
Prabhadevi,400025,Maharashtra,Mumbai
Princess Dock,400009,Maharashtra,Mumbai
Rajbhavan,400035,Maharashtra,Mumbai
Rajendra Nagar,400066,Maharashtra,Mumbai
Ramwadi,400002,Maharashtra,Mumbai
Ranade Road,400028,Maharashtra,Mumbai
Rani Sati marg,400097,Maharashtra,Mumbai
Reay Road,400033,Maharashtra,Mumbai
S R p f camp,400060,Maharashtra,Mumbai
S Savarkar marg,400028,Maharashtra,Mumbai
S V marg,400007,Maharashtra,Mumbai
S. c. court,400002,Maharashtra,Mumbai
S. k.nagar,400066,Maharashtra,Mumbai
Sahar P & t colony,400099,Maharashtra,Mumbai
Sahargaon,400099,Maharashtra,Mumbai
Santacruz Central,400054,Maharashtra,Mumbai
Santacruz P&t colony,400029,Maharashtra,Mumbai
Santacruz(east),400055,Maharashtra,Mumbai
Santacruz(west),400054,Maharashtra,Mumbai
